"Article Title","Article URL","Article Content","Featured Image","Related Article Title","Related Article URL","Related Article Image"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","Discovery Alert: 'Baby' Planet Photographed in a Ring around a Star for the First Time!","https://science.nasa.gov/universe/exoplanets/discovery-alert-baby-planet-photographed-in-a-ring-around-a-star-for-the-first-time/","https://assets.science.nasa.gov/dynamicimage/assets/science/astro/exo-explore/exoplanet-artists-concepts/WISPIT%202%20b%20Wide%20Final.png?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","Astronaut Candidates Get to Work at Johnson Space Center","https://www.nasa.gov/centers-and-facilities/johnson/astronaut-candidates-get-to-work-at-johnson-space-center/","https://www.nasa.gov/wp-content/uploads/2025/09/jsc2023e006587.jpg?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","NASA Aircraft Coordinate Science Flights to Measure Air Quality","https://science.nasa.gov/earth/nasa-aircraft-coordinate-science-flights-to-measure-air-quality/","https://assets.science.nasa.gov/dynamicimage/assets/science/esd/articles/2025/A90%20NASA%20Chesapeake%20Shawn%20Serbin.jpeg?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","NASA's Webb Telescope Studies Moon-Forming Disk Around Massive Planet","https://science.nasa.gov/missions/webb/nasas-webb-telescope-studies-moon-forming-disk-around-massive-planet/","https://assets.science.nasa.gov/dynamicimage/assets/science/missions/webb/science/2025/09/STScI-01K6196E18EPYF8RDEAQVA01Y3.png?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","Hubble Captures Puzzling Galaxy","https://science.nasa.gov/missions/hubble/hubble-captures-puzzling-galaxy/","https://assets.science.nasa.gov/dynamicimage/assets/science/missions/hubble/galaxies/spiral/Hubble_NGC2775_potw2538a.jpg?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","NASA, Sierra Space Modify Commercial Resupply Services Contract","https://www.nasa.gov/missions/station/nasa-sierra-space-modify-commercial-resupply-services-contract/","https://www.nasa.gov/wp-content/uploads/2025/09/20240131-207a0543.png?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","NASA Opens 2026 Human Lander Challenge for Life Support Systems, More","https://www.nasa.gov/directorates/esdmd/artemis-campaign-development-division/human-landing-system-program/human-lander-challenge/nasa-opens-2026-human-lander-challenge-for-life-support-systems-more/","https://www.nasa.gov/wp-content/uploads/2024/01/taking-in-the-view-surface-from-hls.png?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","Inside the Visualization: Aerosols","https://science.nasa.gov/earth/inside-the-visualization-aerosols/","https://assets.science.nasa.gov/dynamicimage/assets/science/esd/eo/content-feature/aerosols/images/aerosol_fine_fraction_depth_201008_hammer.jpg?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","NASA Data Powers New Tool to Protect Water Supply After Fires","https://science.nasa.gov/earth/nasa-data-powers-new-tool-to-protect-water-supply-after-fires/","https://assets.science.nasa.gov/dynamicimage/assets/science/esd/articles/2025/hydroflame_banner.jpg?w=1024"
"Microbiology Missions","https://www.nasa.gov/ames/space-biosciences/microbiology-missions/","How does NASA study microbes in space? Microbes can be found everywhere humans are living. To understand how microbes are surviving, adapting and changing in space, NASA designs several types of experiments, from exposing them directly to space on the exterior of the ISS, to sampling surfaces, air and water inside the ISS and using culture and molecular biology techniques to identify what is living and growing there. We also develop closed habitats with microbial cultures to test how bacterial species grow and evolve in response to the extreme environment of space. Read more about some of the microbiology scientific missions that have flown.

Bacterial Adhesion and Corrosion (SpaceX-21)

MVP-Cell-02 (SpaceX-18)

Microbial Tracking-2 (Multiple missions)

Microbial Tracking 1-A (SpaceX-5)

Microbial Tracking 1-B (SpaceX-6)

Microbial Tracking 1-C (SpaceX-7)

BioNutrients-1 (NG-11)

EcAMSat (OA-8)

Exposing Microorganisms in the Stratosphere (E-MIST) 2015 Flight Mission

Microbe (STS-115)

Micro-2 (STS-132)

Micro-2A (STS-135)

Micro-4 (STS-135)

Micro-5 (SpaceX-5)

Micro-6 (SpaceX-11)

Micro-7 (SpaceX-3)

Micro-8 (SpaceX-4)

Micro-9 (SpaceX-8)

Micro-10 (SpaceX-8)

Micro-11 (SpaceX-14)

Micro-12 (SpaceX-15)

Micro-14 (Space-16, SpaceX-17)

Micro-15 (SpaceX-18)

Micro-16 (NG-15)

SPEGIS (STS-118)

* 
Keep Exploring

Discover More Topics From NASA","https://www.nasa.gov/wp-content/uploads/2021/12/mt-3_spx22_astro_megan_sample.jpeg?w=1365","October's Night Sky Notes: Let's Go, LIGO!","https://science.nasa.gov/solar-system/skywatching/night-sky-network/octobers-night-sky-notes-lets-go-ligo/","https://assets.science.nasa.gov/content/dam/science/astro/programs/physics-of-the-cosmos/images/gwsig/gravitational_waves-16.gif"
