"Investigation Title","Investigation URL","Investigation Category","Investigation Description"
"Biological Experiment-01 (BioExpt-01) mission","http://science.nasa.gov/mission/bio-expt-01","Artemis I","Studying how life responds to conditions beyond low-Earth orbit."
"Deep Space Radiation Genomics (DSRG)","https://science.nasa.gov/biological-physical/investigations/dsrg/","Artemis I","Pioneering scientific discovery by correlating which genes provide yeast cells, Saccharomyces cerevisiae, with a higher probability of survival and the types and doses of radiation experienced beyond Earth's protective magnetosphere."
"Fuel to Mars","https://science.nasa.gov/biological-physical/investigations/fuel-to-mars/","Artemis I","Identifying genes and gene pathways in algae, Chlamydomonas reinhardtii, that convey the best survival advantage during exposure to the combined impacts of space radiation and microgravity to become the parent strains in future studies to optimize generation of hydrogen and other fuels in space."
"Investigating the Roles of Melanin and DNA Repair on Adaptation and Survivability of Fungi in Deep Space","https://science.nasa.gov/biological-physical/investigations/melanin-and-dna-repair/","Artemis I","Determining the physiology and molecular pathways responsive to spaceflight using fungi, such as Aspergillus niger, a group of microorganisms commonly found in spacecrafts."
"Life Beyond Earth: Effect of Space Flight on Seeds with Improved Nutritional Value","https://science.nasa.gov/biological-physical/investigations/life-beyond-earth/","Artemis I","Understanding the impact of space flight beyond the Van Allen radiation belt on amino acids which are the building blocks of proteins in Arabidopsis thaliana seeds."
"ACES (Atomic Clock Ensemble in Space)","https://science.nasa.gov/biological-physical/investigations/aces-atomic-clock-ensemble-in-space/","International Space Station","is in partnership with the European Space Agency (ESA) mission that aims to help answer fundamental physics questions. By comparing a highly precise atomic clock aboard the International Space Station with numerous ground atomic clocks around the world (including ones coordinated by NASA)."
"Advanced Combustion Microgravity Experiment (ACME) mission","https://science.nasa.gov/biological-physical/investigations/acme/","International Space Station","Was a set of five independent studies of gaseous flames conducted in the Combustion Integrated Rack (CIR)"
"Burning Rate Emulator (BRE)","https://science.nasa.gov/biological-physical/investigations/bre/","International Space Station","Studies fire prevention, especially in spacecraft, by simulating the flammability of solid and liquid materials by burning gaseous fuels under key conditions corresponding to the solid and liquid materials."
"Coflow Laminar Diffusion Flame (CLD Flame)","https://science.nasa.gov/biological-physical/investigations/cld-flame/","International Space Station","Investigates combustion at the extremes of the fuel dilution spectrum -- namely pure-fuel flames that produce soot, and highly diluted flames that are close to extinction."
"Electric-Field Effects on Laminar Diffusion Flames (E-FIELD Flames)","https://science.nasa.gov/biological-physical/investigations/e-field-flames/","International Space Station","Investigates how the ions can be used to control non-premixed flames in order to gain an improved understanding of flame production."
"Flame Design","https://science.nasa.gov/biological-physical/investigations/flame-design/","International Space Station","Improving our understanding of soot inception and control in order to enable the optimization of oxygen enriched combustion and the ""design"" of non-premixed flames that are both robust and soot free."
"Structure and Response of Spherical Flames (s-Flame)","https://science.nasa.gov/biological-physical/investigations/s-flame/","International Space Station","Advancing our ability to predict the structure and dynamics, including extinction, of both soot-free and sooty flames."
"Advanced Plant Experiment-07 (APEX-07)","https://science.nasa.gov/biological-physical/investigations/apex-7/","International Space Station","Examining how changes in gravity and other environmental factors associated with spaceflight affect plants at the level of gene expression"
"Advanced Plant EXperiment-08 (APEX-08)","https://science.nasa.gov/biological-physical/investigations/advanced-plant-experiment-08/","International Space Station","Examining the role of polyamines in stress response mitigation to microgravity in Arabidopsis thaliana."
"Advanced Plant EXperiment-08 (APEX-09)","https://science.nasa.gov/biological-physical/investigations/apex-9/","International Space Station","C4 Photosynthesis in Space (C4 Space) (Advanced Plant Experiment-09 or APEX-09) examines the carbon dioxide capture mechanisms of two types of grasses, *Brachypodium distachyon* and *Setaria viridis.*"
"Advanced Plant EXperiment-10 (APEX-10)","https://science.nasa.gov/biological-physical/investigations/apex-10/","International Space Station","This investigation tests whether the beneficial microbe *Trichoderma harzianum* confers increased stress resilience and improved growth to seedlings of tomato plants (*Lycopersicum esculentum*) when the two are grown together in microgravity."
"APEX-12 (Advanced Plant EXperiment-12)","https://science.nasa.gov/biological-physical/investigations/apex-12-advanced-plant-experiment-12/","International Space Station","This investigation will test the hypothesis that induction of telomerase, a protein complex, activity in space protects plant DNA molecules from damage elicited by cellular stress evoked by the combined spaceflight stressors experienced by seedlings grown aboard the space station."
"Advanced Plant Habitat","https://science.nasa.gov/mission/advanced-plant-habitat/","International Space Station","The largest, fully automated plant growth research facility that is used to conduct plant bioscience research on the International Space Station (ISS)."
"An Integrated Omics Guided Approach to Lignification and Gravitational Responses: The Final Frontier (Plant Habitat-01)","https://science.nasa.gov/biological-physical/investigations/plant-habitat-01-cweku/","International Space Station","Comprehensively compared differences in genetics, metabolism, photosynthesis and gravity sensing between plants grown in space and on Earth."
"Assessment of Nutritional Value and growth Parameters of Space-grown Plants (Plant Habitat-02)","https://science.nasa.gov/biological-physical/investigations/plant-habitat-02-wvqpm/","International Space Station","Measured the metabolic and physiological responses of radishes grown in the Advanced Plant Habitat facility and identifies the effects of the space environment and culture conditions on metabolite accumulation, flavor, enzyme activity, mineral uptake and generation time."
"Epigenetic Adaptation to the Spaceflight Environment -- Accumulated Genomic Change Induced by Generations in Space (Plant Habitat-03)","https://science.nasa.gov/biological-physical/investigations/plant-habitat-03-foarz/","International Space Station","Assesses whether epigenetic adaptations in one generation of plants grown in space can transfer to the next generation."
"Effect of Spaceflight and Simulated Microgravity on Plant Defense Responses (Plant Habitat-06)","https://science.nasa.gov/biological-physical/investigations/plant-habitat-06/","International Space Station","Investigates the physiological and genetic responses to defense activation and immune system function in tomatoes during spaceflight."
